Date,Open,High,Low,Close,Volume
1999-04-06,5528.93,5620.27,5437.55,5620.27,2745565.7058413
1999-04-07,5649.11,5889.48,5605.83,5812.57,9014814.575919
1999-04-08,5812.57,5961.62,5769.31,5961.62,3696531.9124967
1999-04-09,6153.93,6153.93,5913.56,5942.39,6206226.1625432
1999-04-12,5846.23,5884.68,5754.87,5769.31,1896520.6022676
1999-04-13,5865.46,5870.26,5793.33,5807.75,2433361.8195439
1999-04-14,5745.26,5759.68,5576.98,5625.05,3556548.4744386
1999-04-15,5649.11,5750.08,5610.66,5697.2,2680671.1460079
1999-04-16,5721.23,5778.92,5576.98,5581.8,2591024.9778405
1999-04-19,5581.8,5581.8,5437.55,5504.88,2251156.8208117
1999-04-20,5408.73,5466.43,5384.69,5432.77,2138421.1287109
1999-04-21,5447.19,5480.84,5375.06,5423.14,1371119.2630089
1999-04-22,5519.32,5524.09,5418.33,5524.09,2309187.2530997
1999-04-23,5528.93,5620.27,5519.32,5591.41,2164629.0682436
1999-04-26,5552.96,5615.46,5495.25,5495.25,1471790.7917678
1999-04-27,5591.41,5596.22,5504.88,5557.76,1602410.9536348
1999-04-28,5601.04,5706.79,5557.76,5625.05,2974569.019394
1999-04-30,5432.77,5447.19,5312.57,5360.62,5007330.3587961
1999-05-06,5336.59,5442.37,5331.8,5423.14,3260774.734057
1999-05-07,5418.33,5432.77,5288.53,5288.53,2505744.792247
1999-05-10,5360.62,5379.89,5322.17,5331.8,1408557.3126608
1999-05-11,5394.3,5394.3,5326.99,5346.23,1977015.2694906
1999-05-12,5432.77,5500.07,5394.3,5394.3,2290675.4869867
1999-05-13,5365.46,5447.19,5346.23,5408.73,1281473.0948415
1999-05-14,5447.19,5451.99,5403.92,5442.37,2852059.5483728
1999-05-17,5423.14,5427.96,5365.46,5375.06,1515468.6836408
1999-05-18,5375.06,5418.33,5312.57,5375.06,1632987.8867638
1999-05-19,5293.34,5394.3,5269.3,5278.9,2240130.456546
1999-05-20,5375.06,5504.88,5288.53,5485.64,2440642.4718636
1999-05-21,5485.64,5524.09,5432.77,5519.32,1609068.3243043
1999-05-24,5500.07,5591.41,5461.6,5576.98,2077478.0340253
1999-05-25,5432.77,5466.43,5360.62,5370.26,1957462.693279
1999-05-26,5365.46,5528.93,5355.83,5437.55,1800633.5882051
1999-05-27,5533.73,5533.73,5437.55,5504.88,1278144.9113439
1999-05-28,5451.99,5485.64,5423.14,5461.6,2082261.5450476
1999-05-31,5432.77,5447.19,5341.4,5399.09,1649420.0400279
1999-06-01,5360.62,5437.55,5341.4,5403.92,1542094.1516219
1999-06-02,5394.3,5399.09,5302.97,5326.99,1927929.5812711
1999-06-03,5293.34,5322.17,5192.38,5216.43,2766365.8490274
1999-06-04,5235.65,5259.67,5153.91,5216.43,1885077.7132276
1999-06-07,5264.49,5418.33,5250.07,5370.26,2502625.3729736
1999-06-08,5466.43,5480.84,5413.53,5432.77,1788152.9000889
1999-06-09,5432.77,5480.84,5418.33,5466.43,1453485.7825308
1999-06-10,5432.77,5548.15,5399.09,5500.07,2254900.5254095
1999-06-11,5480.84,5697.2,5480.84,5673.15,9497993.3508294
1999-06-14,5682.76,5764.5,5639.5,5673.15,3361654.023366
1999-06-15,5716.42,5778.92,5649.11,5764.5,2663614.7074195
1999-06-16,5745.26,5783.72,5697.2,5721.23,1958086.9786034
1999-06-17,5817.38,5884.68,5793.33,5841.42,3041339.4462229
1999-06-18,5860.67,5913.56,5846.23,5908.72,3134104.0299895
1999-06-21,6004.88,6240.46,5966.42,6240.46,6051060.145544
1999-06-22,6432.77,6447.2,6331.82,6394.34,9866356.82079
1999-06-23,6298.17,6322.18,6226.03,6259.71,4708436.1954669
1999-06-24,6202,6221.24,6115.46,6177.97,2740366.6737189
1999-06-25,6081.81,6110.66,6014.51,6014.51,2163173.740719
1999-06-28,6057.74,6062.58,6014.51,6048.13,1607611.9931055
1999-06-29,6086.61,6322.18,6086.61,6283.73,4992560.2899326
1999-06-30,6394.34,6471.24,6274.1,6274.1,5177055.6730863
1999-07-01,6418.34,6533.73,6351.04,6533.73,5936039.0873925
1999-07-02,6586.6,6620.27,6471.24,6562.6,3984607.4721103
1999-07-05,6605.84,6682.78,6586.6,6586.6,2972490.4102192
1999-07-06,6586.6,6605.84,6394.34,6490.47,2463105.7031244
1999-07-07,6490.47,6548.15,6418.34,6490.47,2552127.5859674
1999-07-08,6538.54,6668.34,6500.08,6586.6,4161821.1992702
1999-07-09,6634.69,6653.92,6504.88,6620.27,3433830.2391932
1999-07-12,6663.54,6937.57,6634.69,6937.57,5347614.0369251
1999-07-13,6875.1,6995.3,6841.43,6932.77,3921377.0040257
1999-07-14,6879.89,7081.82,6879.89,6990.47,3808433.5513748
1999-07-15,7115.49,7163.57,7048.15,7125.09,4164316.3332193
1999-07-16,7413.56,7538.55,7240.49,7283.74,5180799.3776841
1999-07-19,7259.72,7269.33,7153.93,7221.26,2521967.1776127
1999-07-21,6932.77,6976.06,6827.01,6889.5,3558420.3267375
1999-07-22,6793.37,6817.39,6586.6,6658.72,3406165.9684617
1999-07-23,6490.47,6692.4,6476.06,6586.6,3440901.1236144
1999-07-26,6682.78,6802.98,6658.72,6716.42,3030938.3709557
1999-07-27,6764.52,6788.56,6596.23,6620.27,3014921.7387918
1999-07-28,6778.93,6841.43,6692.4,6740.47,2542976.085023
1999-07-29,6995.3,7322.2,6980.85,7091.43,6877017.7325325
1999-07-30,6966.42,7110.66,6913.56,7014.51,3786798.3512918
1999-08-02,6875.1,6966.42,6855.86,6903.92,2551086.7758688
1999-08-03,6947.2,6995.3,6831.82,6942.41,2958970.9193527
1999-08-04,6851.03,6875.1,6730.85,6750.08,2740988.9516949
1999-08-05,6557.78,6601.06,6485.66,6562.6,3272007.8551986
1999-08-06,6586.6,6644.32,6562.6,6605.84,3129943.8006175
1999-08-09,6562.6,6677.97,6528.92,6620.27,2166709.6847667
1999-08-10,6677.97,6860.66,6653.92,6846.25,4161403.6708217
1999-08-11,6807.78,6903.92,6774.12,6793.37,2994746.8846041
1999-08-12,6971.24,6995.3,6889.5,6918.36,2047942.9146691
1999-08-13,6918.36,7024.14,6875.1,6985.66,2821275.8583678
1999-08-16,7211.61,7211.61,7125.09,7125.09,2840619.6703552
1999-08-17,7202,7245.29,7149.11,7187.6,3853776.5386707
1999-08-18,7259.72,7312.58,7158.75,7197.19,4724451.8239566
1999-08-19,7004.91,7019.31,6875.1,6947.2,2719152.0131068
1999-08-20,6802.98,7110.66,6802.98,7091.43,3281783.6414674
1999-08-23,7163.57,7163.57,6865.5,6952.01,2009877.5686703
1999-08-24,7115.49,7211.61,7062.59,7115.49,2114087.0488253
1999-08-25,6995.3,7091.43,6855.86,6889.5,2026518.4861586
1999-08-26,6971.24,7004.91,6879.89,6879.89,1742185.6274687
1999-08-27,6879.89,6923.16,6831.82,6899.11,1194529.8211733
1999-08-30,6802.98,7004.91,6798.15,6995.3,1153553.8201254
1999-08-31,6831.82,6884.7,6783.75,6817.39,2316882.4228453
1999-09-01,6783.75,6942.41,6759.69,6899.11,2235555.7097479
1999-09-02,6899.11,6908.74,6802.98,6802.98,1386718.3667243
1999-09-03,6759.69,6860.66,6754.89,6798.15,1629243.1784919
1999-09-06,6990.47,6990.47,6831.82,6836.61,1403150.5199884
1999-09-07,6875.1,6942.41,6822.19,6899.11,1667308.5244907
1999-09-08,6889.5,6889.5,6812.58,6879.89,2007175.6778454
1999-09-09,6971.24,6980.85,6807.78,6807.78,1828296.8552625
1999-09-10,6730.85,6980.85,6726.06,6865.5,7650559.4404555
1999-09-13,7038.55,7254.9,7004.91,7177.98,5767142.8079542
1999-09-14,7370.28,7764.51,7245.29,7668.36,15528255.360536
1999-09-16,7476.06,7615.48,7452.02,7500.08,7953405.0689325
1999-09-17,7509.7,7586.63,7384.69,7471.25,4906863.5795648
1999-09-20,7663.55,8110.67,7658.76,7913.55,9768597.9544286
1999-09-21,8052.98,8298.17,8014.51,8293.35,9880294.8437791
1999-09-22,7908.76,8110.67,7851.07,7980.86,7971710.0781696
1999-09-24,7692.41,7730.86,7500.08,7677.97,7039256.6413013
1999-09-27,7716.44,7827.02,7572.2,7577.01,2976026.3542669
1999-09-28,7769.32,7802.98,7692.41,7759.69,2932762.97982
1999-09-29,7759.69,7759.69,7596.26,7663.55,1977015.2694906
1999-09-30,7740.5,7807.78,7649.12,7649.12,3251207.7120125
1999-10-01,7783.75,8134.71,7764.51,7956.85,7213143.1886377
1999-10-04,7927.99,8014.51,7884.72,7932.78,2854973.2144445
1999-10-05,8028.94,8115.5,7956.85,7990.48,2597056.0558373
1999-10-06,8077.02,8077.02,7889.52,8028.94,2461440.6077014
1999-10-07,8125.11,8158.74,8043.37,8115.5,3993342.4482803
1999-10-08,8077.02,8077.02,7961.64,8072.2,3337940.2141082
1999-10-12,7976.06,8077.02,7966.47,8024.13,2766782.3738017
1999-10-13,7971.24,8024.13,7937.62,7937.62,1767770.2853512
1999-10-14,7899.13,8096.27,7894.32,8019.35,2072692.5156548
1999-10-15,8024.13,8072.2,7769.32,7812.6,2473713.5352675
1999-10-18,7452.02,7548.17,7274.12,7341.45,4611927.9071025
1999-10-19,7403.94,7408.76,7293.35,7312.58,2337267.0449313
1999-10-20,7500.08,7586.63,7461.62,7495.28,2795902.975732
1999-10-21,7567.42,7567.42,7384.69,7413.56,2182725.3132565
1999-10-22,7500.08,7519.33,7375.09,7413.56,2107845.199256
1999-10-25,7596.26,7697.21,7562.59,7572.2,3135768.1217384
1999-10-26,7620.28,7735.7,7591.43,7634.73,2274452.0979469
1999-10-27,7673.18,7692.41,7476.06,7509.7,2452497.8709812
1999-10-28,7605.87,7702.03,7552.98,7552.98,3364566.6857635
1999-10-29,7788.56,7889.52,7769.32,7817.41,5037488.7598025
1999-11-01,7884.72,7990.48,7860.68,7870.3,3328791.7241863
1999-11-02,7870.3,7956.85,7841.42,7952.02,2107221.9176058
1999-11-04,8000.1,8091.45,7990.48,8009.71,4301593.8657557
1999-11-05,8072.2,8336.64,7995.28,8197.2,6719149.8247083
1999-11-08,8365.49,8452.02,8317.41,8370.3,7168632.2472162
1999-11-09,8562.61,8677.98,8485.67,8649.15,8721955.5052832
1999-11-10,8581.85,8870.29,8485.67,8798.18,6366593.2190132
1999-11-11,8798.18,8903.96,8692.4,8692.4,5385260.8508012
1999-11-12,8697.24,8918.38,8692.4,8889.54,4146220.0882064
1999-11-15,8985.68,9105.86,8976.07,9019.34,4211739.9370383
1999-11-16,9014.53,9182.8,8860.68,9038.58,4583639.3510466
1999-11-17,9230.88,9312.62,8860.68,9004.92,4479016.3571398
1999-11-18,9004.92,9004.92,8841.45,8923.18,3153449.8493252
1999-11-19,8980.89,9077.04,8908.75,8942.41,2937754.2513923
1999-11-22,8990.5,9134.73,8990.5,9038.58,2814829.2592709
1999-11-24,8971.28,9178.01,8937.61,9081.86,3952575.2114566
1999-11-25,9178.01,9264.53,9024.13,9038.58,3307992.5846743
1999-11-26,9134.73,9278.96,9004.92,9278.96,2681919.7166566
1999-11-29,9230.88,9327.03,9153.94,9303.01,3011386.7984182
1999-11-30,9293.4,9312.62,9014.53,9086.64,2963339.912949
1999-12-01,8990.5,9038.58,8803,8860.68,2488066.0756826
1999-12-02,8860.68,8928.02,8605.87,8716.44,2472881.4893931
1999-12-03,8750.11,8788.58,8682.79,8726.08,1727208.8017292
1999-12-06,8918.38,8952.04,8831.84,8918.38,2542560.5639229
1999-12-07,9004.92,9086.64,8956.84,9028.98,2852269.3162712
1999-12-08,9028.98,9033.76,8875.11,8913.58,1805418.1029015
1999-12-09,9009.74,9009.74,8803,8879.91,1900264.3068654
1999-12-10,9418.38,9480.89,9158.78,9211.66,11823820.517743
1999-12-13,9254.92,9259.73,9125.09,9254.92,3118712.6868241
1999-12-14,9312.62,9379.93,9269.36,9327.03,4238154.6334469
1999-12-15,9317.42,9351.1,9278.96,9331.85,4171595.9818647
1999-12-16,9351.1,9379.93,9206.84,9341.45,2465600.8370735
1999-12-17,9437.61,10081.9,9355.89,9860.7,9177262.248912
1999-12-20,10336.7,10615.5,10235.7,10250.1,6895737.2591955
1999-12-21,10250.1,10432.8,10250.1,10408.8,4480470.6809903
1999-12-22,10505,11370.3,10466.5,11101.1,6994329.1751055
1999-12-24,11678.1,12009.8,11615.5,11923.2,6643645.4253834
1999-12-27,11831.9,11947.3,11567.5,11682.8,2458111.4205296
1999-12-28,12644.4,12644.4,12644.4,12644.4,166813.65556684
1999-12-29,13605.9,13605.9,13605.9,13605.9,394153.88104493
1999-12-30,14567.5,14567.5,14567.5,14567.5,5033121.7735546
2000-01-04,14423.3,15505,14327.1,14759.8,9145855.2772569
2000-01-05,13317.5,13317.5,13317.5,13317.5,2156101.8526236
2000-01-06,13029,13101.1,12355.9,12355.9,10316463.528622
2000-01-07,11394.4,11586.7,11394.4,11394.4,9734486.080926
2000-01-11,12355.9,12355.9,12355.9,12355.9,2581872.473222
2000-01-12,12067.5,12399.2,11889.6,12211.7,8177627.8824855
2000-01-13,11875.1,11918.4,11538.6,11658.8,6185843.5478055
2000-01-14,11755,11803,11264.6,11538.6,6361600.9437667
2000-01-17,11634.8,11913.6,11620.3,11841.5,3465027.4429499
2000-01-18,11553,11610.7,11360.7,11432.8,3272840.9047472
2000-01-19,11529,11615.5,11274.2,11274.2,3445685.6383109
2000-01-20,11346.3,11514.6,11274.2,11394.4,3232902.7027754
2000-01-21,11538.6,11634.8,11466.5,11634.8,2889085.087947
2000-01-24,11923.2,12115.5,11884.8,12091.5,4390825.5164971
2000-01-25,11899.2,12307.8,11860.7,12033.8,4185948.5222798
2000-01-26,12187.7,12274.2,12154,12250.2,2937547.4945164
2000-01-27,12500.2,12620.3,12404,12620.3,4212778.7397886
2000-01-28,12716.5,13149.2,12649.2,13024.2,4941600.7420659
2000-01-31,12831.9,13221.3,12740.5,12961.7,3720656.2244839
2000-02-01,13221.3,13221.3,12932.9,13043.4,3780352.755869
2000-02-02,13230.9,13533.8,13197.3,13245.4,6005301.637148
2000-02-03,13529,13581.9,13442.5,13509.8,3939886.7627904
2000-02-04,13894.4,14226.1,13894.4,14029,5875094.9890328
2000-02-07,14413.6,14418.5,14182.9,14413.6,4563047.9720847
2000-02-08,14423.3,14423.3,13803.1,14014.6,4498776.6939015
2000-02-09,14303.1,14351.2,14206.9,14216.5,4459879.3020284
2000-02-10,13928.1,13942.5,13658.8,13803.1,5109041.6939795
2000-02-14,13514.6,13678.1,13461.7,13461.7,3478340.1769405
2000-02-15,13529,13673.3,13437.7,13466.5,3590868.1084913
2000-02-16,13442.5,13466.5,13163.6,13413.6,3098121.3078622
2000-02-17,13365.5,14173.2,13230.9,13894.4,5208255.8878655
2000-02-18,14086.7,14317.5,14014.6,14255,4281833.528994
2000-02-21,14423.3,15216.5,14399.2,15216.5,8622740.307723
2000-02-22,15937.7,15985.8,14471.3,14591.5,8993598.9116327
2000-02-23,14543.5,14711.7,14115.6,14423.3,4560135.3096872
2000-02-24,14711.7,14783.8,14360.8,14408.8,3826112.2679392
2000-02-25,14591.5,14831.9,14423.3,14831.9,3948413.9784104
2000-02-28,14807.9,15168.5,14735.7,14904,4770419.0965769
2000-02-29,15192.5,15817.5,15144.4,15625.2,8064891.1867105
2000-03-01,16202.1,16298.3,15625.2,15673.3,7741871.70772
2000-03-02,15817.5,15841.5,15360.8,15529,4462790.9607517
2000-03-03,15096.3,15336.7,14831.9,14904,4289947.2308622
2000-03-06,15048.3,15120.4,13952.1,14206.9,5913366.0882333
2000-03-07,13822.3,14125.2,13726.1,13961.7,5936662.3690427
